incident_id,date,state,n_killed,,,,,,,,,,,,,,,,
92844,1/3/14,Louisiana,0,,,,,,,,,,,,,,,,
93379,1/3/14,Texas,0,,,,,,,,,,,,,,,,
94940,1/3/14,Ohio,0,,,,,,,,,,,,,,,,
92842,1/3/14,Louisiana,0,,,,,,,,,,,,,,,,
93001,1/3/14,Maryland,0,,,,,,,,,,,,,,,,
94938,1/3/14,Ohio,0,,,,,,,,,,,,,,,,
92625,1/3/14,Illinois,0,,,,,,,,,,,,,,,,
92849,1/3/14,Louisiana,1,,,,,,,,,,,,,,,,
92628,1/3/14,Illinois,0,,,,,,,,,,,,,,,,
96451,1/3/14,Texas,0,,,,,,,,,,,,,,,,
93070,1/3/14,Ohio,0,,,,,,,,,,,,,,,,
93512,1/3/14,Mississippi,0,,,,,,,,,,,,,,,,
92981,1/3/14,Oregon,1,,,,,,,,,,,,,,,,
92749,1/3/14,Pennsylvania,0,,,,,,,,,,,,,,,,
93519,1/3/14,Mississippi,0,,,,,,,,,,,,,,,,
94427,1/3/14,Delaware,0,,,,,,,,,,,,,,,,
95151,1/3/14,District of Columbia,0,,,,,,,,,,,,,,,,
95141,1/3/14,District of Columbia,0,,,,,,,,,,,,,,,,
95134,1/3/14,District of Columbia,0,,,,,,,,,,,,,,,,
95153,1/3/14,District of Columbia,0,,,,,,,,,,,,,,,,
93543,1/3/14,North Dakota,0,,,,,,,,,,,,,,,,
93505,1/3/14,Mississippi,0,,,,,,,,,,,,,,,,
93094,1/3/14,Maryland,0,,,,,,,,,,,,,,,,
92830,1/3/14,Louisiana,0,,,,,,,,,,,,,,,,
92718,1/3/14,New York,0,,,,,,,,,,,,,,,,
92992,1/3/14,Nevada,1,,,,,,,,,,,,,,,,
92436,1/3/14,Iowa,0,,,,,,,,,,,,,,,,
93546,1/3/14,Nebraska,0,,,,,,,,,,,,,,,,
92788,1/3/14,North Carolina,1,,,,,,,,,,,,,,,,
103026,1/3/14,Illinois,1,,,,,,,,,,,,,,,,
92936,1/3/14,Mississippi,2,,,,,,,,,,,,,,,,
92697,1/3/14,Maryland,0,,,,,,,,,,,,,,,,
94563,1/3/14,New York,0,,,,,,,,,,,,,,,,
92445,1/3/14,Michigan,1,,,,,,,,,,,,,,,,
92962,1/3/14,Arizona,0,,,,,,,,,,,,,,,,
94635,1/3/14,Texas,0,,,,,,,,,,,,,,,,
92573,1/3/14,Mississippi,0,,,,,,,,,,,,,,,,
92973,1/3/14,Washington,0,,,,,,,,,,,,,,,,
92808,1/3/14,North Carolina,0,,,,,,,,,,,,,,,,
94711,1/3/14,Illinois,0,,,,,,,,,,,,,,,,
92593,1/3/14,Washington,1,,,,,,,,,,,,,,,,
92616,1/3/14,Michigan,0,,,,,,,,,,,,,,,,
92978,1/3/14,Washington,1,,,,,,,,,,,,,,,,
183489,1/3/14,Washington,1,,,,,,,,,,,,,,,,
92683,1/3/14,Maryland,1,,,,,,,,,,,,,,,,
93317,1/3/14,West Virginia,1,,,,,,,,,,,,,,,,
92814,1/3/14,West Virginia,0,,,,,,,,,,,,,,,,
210410,1/3/14,California,0,,,,,,,,,,,,,,,,
92691,1/3/14,California,0,,,,,,,,,,,,,,,,
93323,1/3/14,Arizona,0,,,,,,,,,,,,,,,,
92825,1/3/14,Arkansas,0,,,,,,,,,,,,,,,,
92694,1/3/14,California,0,,,,,,,,,,,,,,,,
93338,1/3/14,Washington,1,,,,,,,,,,,,,,,,
